subject,fs_default_index,name,side,region_type,strength
043,1,L.caudalanteriorcingulate,L,cortex,96308.0
043,2,L.caudalmiddlefrontal,L,cortex,246457.0
043,3,L.cuneus,L,cortex,138847.0
043,4,L.entorhinal,L,cortex,17034.0
043,5,L.fusiform,L,cortex,154128.0
043,6,L.inferiorparietal,L,cortex,387025.0
043,7,L.inferiortemporal,L,cortex,211472.0
043,8,L.isthmuscingulate,L,cortex,106048.0
043,9,L.lateraloccipital,L,cortex,315486.0
043,10,L.lateralorbitofrontal,L,cortex,143238.0
043,11,L.lingual,L,cortex,197397.0
043,12,L.medialorbitofrontal,L,cortex,99275.0
043,13,L.middletemporal,L,cortex,270929.0
043,14,L.parahippocampal,L,cortex,34557.0
043,15,L.paracentral,L,cortex,134107.0
043,16,L.parsopercularis,L,cortex,209491.0
043,17,L.parsorbitalis,L,cortex,67432.0
043,18,L.parstriangularis,L,cortex,181263.0
043,19,L.pericalcarine,L,cortex,28133.0
043,20,L.postcentral,L,cortex,298761.0
043,21,L.posteriorcingulate,L,cortex,83091.0
043,22,L.precentral,L,cortex,485435.0
043,23,L.precuneus,L,cortex,294587.0
043,24,L.rostralanteriorcingulate,L,cortex,82761.0
043,25,L.rostralmiddlefrontal,L,cortex,300261.0
043,26,L.superiorfrontal,L,cortex,791872.0
043,27,L.superiorparietal,L,cortex,341429.0
043,28,L.superiortemporal,L,cortex,263184.0
043,29,L.supramarginal,L,cortex,283534.0
043,30,L.transversetemporal,L,cortex,35638.0
043,31,L.insula,L,cortex,131785.0
043,32,L.Cerebellum-Cortex,L,cerebellum,327109.0
043,33,L.Thalamus-Proper,L,subcortical,375342.0
043,34,L.Caudate,L,subcortical,182381.0
043,35,L.Putamen,L,subcortical,283481.0
043,36,L.Pallidum,L,subcortical,162258.0
043,37,L.Hippocampus,L,subcortical,93454.0
043,38,L.Amygdala,L,subcortical,18273.0
043,39,L.Accumbens-area,L,subcortical,18876.0
043,40,R.Thalamus-Proper,R,subcortical,362534.0
043,41,R.Caudate,R,subcortical,156701.0
043,42,R.Putamen,R,subcortical,331081.0
043,43,R.Pallidum,R,subcortical,160752.0
043,44,R.Hippocampus,R,subcortical,94355.0
043,45,R.Amygdala,R,subcortical,24365.0
043,46,R.Accumbens-area,R,subcortical,18158.0
043,47,R.caudalanteriorcingulate,R,cortex,76054.0
043,48,R.caudalmiddlefrontal,R,cortex,205459.0
043,49,R.cuneus,R,cortex,97015.0
043,50,R.entorhinal,R,cortex,8242.0
043,51,R.fusiform,R,cortex,132551.0
043,52,R.inferiorparietal,R,cortex,439206.0
043,53,R.inferiortemporal,R,cortex,192626.0
043,54,R.isthmuscingulate,R,cortex,77347.0
043,55,R.lateraloccipital,R,cortex,332769.0
043,56,R.lateralorbitofrontal,R,cortex,154368.0
043,57,R.lingual,R,cortex,143350.0
043,58,R.medialorbitofrontal,R,cortex,83997.0
043,59,R.middletemporal,R,cortex,245247.0
043,60,R.parahippocampal,R,cortex,29971.0
043,61,R.paracentral,R,cortex,181366.0
043,62,R.parsopercularis,R,cortex,168036.0
043,63,R.parsorbitalis,R,cortex,59831.0
043,64,R.parstriangularis,R,cortex,141818.0
043,65,R.pericalcarine,R,cortex,51743.0
043,66,R.postcentral,R,cortex,273143.0
043,67,R.posteriorcingulate,R,cortex,98860.0
043,68,R.precentral,R,cortex,446245.0
043,69,R.precuneus,R,cortex,239567.0
043,70,R.rostralanteriorcingulate,R,cortex,67775.0
043,71,R.rostralmiddlefrontal,R,cortex,307009.0
043,72,R.superiorfrontal,R,cortex,882184.0
043,73,R.superiorparietal,R,cortex,408352.0
043,74,R.superiortemporal,R,cortex,259094.0
043,75,R.supramarginal,R,cortex,239781.0
043,76,R.transversetemporal,R,cortex,17201.0
043,77,R.insula,R,cortex,128615.0
043,78,R.Cerebellum-Cortex,R,cerebellum,321187.0
