0,3264,15,10,31,261,81,6520,40,1786,68,2582,229,177,2328,3762,379,2841,10,547,7504,1381,5490,4244,2500,20678,483,323,200,32,545,612,6050,1788,2583,1211,209,17,475,1674,817,1792,587,25,5,84,1185,1268,6,0,9,260,52,215,26,396,17,344,95,9,964,2789,145,1202,4,275,1583,1495,800,578,6817,22612,265,103,114,8,517,368
3264,0,18,1,138,7989,1286,29,151,71,25,23,4169,7,102,4117,79,2755,10,4505,43,24863,278,25,17766,15341,3167,1110,4024,61,505,239,2532,888,2161,1018,25,16,5,333,174,236,110,5,4,2,632,156,3,0,0,31,5,22,5,32,0,11,13,1,41,975,23,420,0,32,123,70,74,37,3309,7121,39,23,26,2,53,114
15,18,0,30,1724,2117,1713,3444,22186,123,12601,38,2237,562,6,24,34,55,9398,32,21,32,5486,133,39,80,5050,1866,74,40,406,119,1878,51,2222,670,1209,40,15,1002,80,1284,309,652,70,12,9,43,5617,4,630,1766,717,992,6943,125,2810,134,1071,158,61,20,31,21,2981,180,37,117,5375,14,54,140,5616,940,78,71,287,105
10,1,30,0,1870,34,1128,421,137,188,402,20,211,2331,0,1,10,7,52,3,13,3,216,5,4,12,32,2046,1,0,59,7,132,8,164,55,3822,2166,2,2,2,5,1,1,0,0,1,2,23,0,4,8,2,7,13,1,18,2,3,3,2,0,0,1,19,0,1,2,23,0,0,3,12,4,0,0,0,4
31,138,1724,1870,0,12032,42970,1384,31875,856,15695,116,14508,4646,33,188,254,213,1710,266,55,228,2014,101,155,312,4224,12890,354,79,877,2261,2779,145,3920,934,6161,667,20,285,33,353,113,182,17,4,4,12,623,2,97,522,162,259,843,34,412,57,306,40,21,7,8,13,321,61,11,42,1465,2,30,57,1061,308,33,17,71,424
261,7989,2117,34,12032,0,19816,2305,27694,457,1035,53,70151,506,743,6821,203,1871,408,22334,427,13450,12917,69,2465,647,62973,33687,44139,2128,4866,833,12269,779,14830,3814,916,73,13,1281,104,1222,291,429,66,5,16,54,674,0,150,1331,482,486,990,109,325,77,955,33,157,32,27,23,319,321,94,194,3893,10,82,238,3380,1031,231,107,279,252
81,1286,1713,1128,42970,19816,0,1398,21968,2556,12484,329,28080,4137,359,2086,531,832,3173,2219,267,1969,4115,129,735,638,5202,13680,3451,228,1551,203,6861,513,7358,1960,7406,2972,65,677,54,646,182,247,43,9,3,30,339,1,69,827,253,286,521,58,199,69,572,33,69,19,21,5,181,203,64,92,2271,13,29,109,1777,590,105,53,147,68
6520,29,3444,421,1384,2305,1398,0,3708,300,3958,238,1695,1339,253,69,82,64,1614,211,9317,106,27453,1263,76,2932,7665,2554,337,249,445,157,2191,332,1604,459,1800,104,50,414,70,358,101,271,23,8,39,28,2185,10,228,689,220,288,1998,65,1341,51,541,199,133,23,18,31,952,167,124,79,4287,17,56,219,2306,619,171,56,124,68
40,151,22186,137,31875,27694,21968,3708,0,1172,27700,159,25430,1486,66,307,442,444,11616,520,60,366,5748,202,326,578,13398,13501,638,191,3200,1828,10897,315,15042,4696,4371,242,64,1708,117,2042,464,994,104,21,11,66,4721,6,687,2715,1102,1075,6908,184,2716,225,1619,173,94,30,49,23,2715,278,57,177,7017,19,55,218,6601,1498,142,122,472,368
1786,71,123,188,856,457,2556,300,1172,0,1063,16763,6229,131,53,1052,15731,5423,336,100,527,339,317,5901,9275,17119,225,13839,122,11,10374,97,2979,12535,15546,2361,480,155,3675,194,598,350,72,64,8,515,490,27,19,0,16,60,33,40,28,4884,20,4881,62,2,15,119,490,386,14,18,62,22,203,2493,2555,8141,162,84,19,11,67,24
68,25,12601,402,15695,1035,12484,3958,27700,1063,0,133,10602,3659,17,115,316,295,8199,56,83,48,3210,185,193,399,1688,4880,98,5,1249,915,3003,138,6131,1404,7236,221,37,372,42,443,99,504,26,20,9,16,2038,10,428,472,265,638,2719,69,2697,151,371,185,30,9,14,17,1287,68,18,70,1651,11,36,112,1615,293,27,15,98,213
