subject,roi_name,region_type,L_index,R_index,L_strength,R_strength,side_ai,log_ai
058,Accumbens-area,subcortical,39,46,13491.0,17752.0,-0.1363825496911308,-0.2744753891736128
058,Amygdala,subcortical,38,45,15146.0,19118.0,-0.11592341816483773,-0.23289382894993996
058,Caudate,subcortical,34,41,139361.0,114542.0,0.09774992812215688,0.19612612077639777
058,Cerebellum-Cortex,cerebellum,32,78,307568.0,303127.0,0.007272042508944727,0.014544341402378867
058,Hippocampus,subcortical,37,44,85028.0,80464.0,0.027578372368452855,0.05517073458127023
058,Pallidum,subcortical,36,43,181688.0,193424.0,-0.03128665571882531,-0.06259374016634395
058,Putamen,subcortical,35,42,375020.0,374664.0,0.00047486674385474413,0.0009497335590973955
058,Thalamus-Proper,subcortical,33,40,326307.0,341804.0,-0.023195247496299268,-0.04639881734305528
058,caudalanteriorcingulate,cortex,1,47,72219.0,61247.0,0.08220820283817601,0.16478830054009197
058,caudalmiddlefrontal,cortex,2,48,174429.0,238475.0,-0.1551111154166586,-0.3127467009764418
058,cuneus,cortex,3,49,141605.0,120108.0,0.0821395956639525,0.16465015334579122
058,entorhinal,cortex,4,50,22432.0,14799.0,0.20501732427278344,0.4159288999324687
058,fusiform,cortex,5,51,163217.0,153892.0,0.02940629247356587,0.05882954608433805
058,inferiorparietal,cortex,6,52,361886.0,354017.0,0.010991712564411659,0.021984310522291484
058,inferiortemporal,cortex,7,53,250310.0,253069.0,-0.005480959674519597,-0.01096202911972805
058,insula,cortex,31,77,132997.0,138835.0,-0.02147650019129462,-0.042959606092274234
058,isthmuscingulate,cortex,8,54,107304.0,95070.0,0.06045242965993655,0.1210524652288501
058,lateraloccipital,cortex,9,55,278668.0,323077.0,-0.0738003639415367,-0.14786957581099214
058,lateralorbitofrontal,cortex,10,56,177322.0,188755.0,-0.031231134433466184,-0.06248258898772169
058,lingual,cortex,11,57,199435.0,190601.0,0.02264919135669528,0.04530613090843428
058,medialorbitofrontal,cortex,12,58,124588.0,98652.0,0.11617989607597205,0.23341378757122913
058,middletemporal,cortex,13,59,267710.0,271859.0,-0.00768947067010892,-0.01537924445944354
058,paracentral,cortex,15,61,129094.0,139139.0,-0.037448785197943577,-0.07493261229151253
058,parahippocampal,cortex,14,60,47822.0,39982.0,0.08928978178670675,0.17905643182685888
058,parsopercularis,cortex,16,62,167716.0,151556.0,0.05061514946503295,0.10131687913135853
058,parsorbitalis,cortex,17,63,67186.0,62565.0,0.03561436906073941,0.07125887617434878
058,parstriangularis,cortex,18,64,160322.0,104134.0,0.21246634600840972,0.43150576154300363
058,pericalcarine,cortex,19,65,49799.0,86628.0,-0.26995389475690296,-0.5536281854373145
058,postcentral,cortex,20,66,286364.0,320666.0,-0.05650791558901537,-0.1131363541315849
058,posteriorcingulate,cortex,21,67,84891.0,67230.0,0.11609836906147081,0.23324850415007217
058,precentral,cortex,22,68,461133.0,501008.0,-0.041444029513345755,-0.08293556437986528
058,precuneus,cortex,23,69,255063.0,293777.0,-0.0705378616718898,-0.14131040266012063
058,rostralanteriorcingulate,cortex,24,70,71087.0,61209.0,0.07466590070750438,0.14961024149309118
058,rostralmiddlefrontal,cortex,25,71,300793.0,281301.0,0.03348600054286765,0.06699705011524709
058,superiorfrontal,cortex,26,72,887317.0,933290.0,-0.025251468328969403,-0.050513674941007204
058,superiorparietal,cortex,27,73,429278.0,450880.0,-0.024543320631068514,-0.049096501007700875
058,superiortemporal,cortex,28,74,231271.0,275885.0,-0.08796898784594878,-0.17639392914051422
058,supramarginal,cortex,29,75,297208.0,191788.0,0.21558458555898208,0.43804163506172605
058,transversetemporal,cortex,30,76,16400.0,15964.0,0.013471758744283772,0.026945147643665377
