subject,fs_default_index,name,side,region_type,strength
004,1,L.caudalanteriorcingulate,L,cortex,86762.0
004,2,L.caudalmiddlefrontal,L,cortex,278974.0
004,3,L.cuneus,L,cortex,139975.0
004,4,L.entorhinal,L,cortex,9159.0
004,5,L.fusiform,L,cortex,190737.0
004,6,L.inferiorparietal,L,cortex,387847.0
004,7,L.inferiortemporal,L,cortex,217032.0
004,8,L.isthmuscingulate,L,cortex,90688.0
004,9,L.lateraloccipital,L,cortex,244960.0
004,10,L.lateralorbitofrontal,L,cortex,168837.0
004,11,L.lingual,L,cortex,221290.0
004,12,L.medialorbitofrontal,L,cortex,106857.0
004,13,L.middletemporal,L,cortex,260412.0
004,14,L.parahippocampal,L,cortex,46159.0
004,15,L.paracentral,L,cortex,130750.0
004,16,L.parsopercularis,L,cortex,150620.0
004,17,L.parsorbitalis,L,cortex,51570.0
004,18,L.parstriangularis,L,cortex,151334.0
004,19,L.pericalcarine,L,cortex,84948.0
004,20,L.postcentral,L,cortex,284455.0
004,21,L.posteriorcingulate,L,cortex,119672.0
004,22,L.precentral,L,cortex,447118.0
004,23,L.precuneus,L,cortex,261451.0
004,24,L.rostralanteriorcingulate,L,cortex,71065.0
004,25,L.rostralmiddlefrontal,L,cortex,354516.0
004,26,L.superiorfrontal,L,cortex,818340.0
004,27,L.superiorparietal,L,cortex,368451.0
004,28,L.superiortemporal,L,cortex,266989.0
004,29,L.supramarginal,L,cortex,258774.0
004,30,L.transversetemporal,L,cortex,21667.0
004,31,L.insula,L,cortex,147637.0
004,32,L.Cerebellum-Cortex,L,cerebellum,318821.0
004,33,L.Thalamus-Proper,L,subcortical,331723.0
004,34,L.Caudate,L,subcortical,165706.0
004,35,L.Putamen,L,subcortical,317027.0
004,36,L.Pallidum,L,subcortical,139105.0
004,37,L.Hippocampus,L,subcortical,80506.0
004,38,L.Amygdala,L,subcortical,21087.0
004,39,L.Accumbens-area,L,subcortical,19956.0
004,40,R.Thalamus-Proper,R,subcortical,330922.0
004,41,R.Caudate,R,subcortical,155629.0
004,42,R.Putamen,R,subcortical,405819.0
004,43,R.Pallidum,R,subcortical,133299.0
004,44,R.Hippocampus,R,subcortical,87014.0
004,45,R.Amygdala,R,subcortical,26703.0
004,46,R.Accumbens-area,R,subcortical,22830.0
004,47,R.caudalanteriorcingulate,R,cortex,74876.0
004,48,R.caudalmiddlefrontal,R,cortex,289845.0
004,49,R.cuneus,R,cortex,112251.0
004,50,R.entorhinal,R,cortex,8982.0
004,51,R.fusiform,R,cortex,144437.0
004,52,R.inferiorparietal,R,cortex,420723.0
004,53,R.inferiortemporal,R,cortex,195606.0
004,54,R.isthmuscingulate,R,cortex,88743.0
004,55,R.lateraloccipital,R,cortex,292126.0
004,56,R.lateralorbitofrontal,R,cortex,159249.0
004,57,R.lingual,R,cortex,235514.0
004,58,R.medialorbitofrontal,R,cortex,97094.0
004,59,R.middletemporal,R,cortex,276094.0
004,60,R.parahippocampal,R,cortex,37371.0
004,61,R.paracentral,R,cortex,130639.0
004,62,R.parsopercularis,R,cortex,164307.0
004,63,R.parsorbitalis,R,cortex,72512.0
004,64,R.parstriangularis,R,cortex,101012.0
004,65,R.pericalcarine,R,cortex,80969.0
004,66,R.postcentral,R,cortex,292703.0
004,67,R.posteriorcingulate,R,cortex,107758.0
004,68,R.precentral,R,cortex,401864.0
004,69,R.precuneus,R,cortex,263148.0
004,70,R.rostralanteriorcingulate,R,cortex,50670.0
004,71,R.rostralmiddlefrontal,R,cortex,378113.0
004,72,R.superiorfrontal,R,cortex,787862.0
004,73,R.superiorparietal,R,cortex,388675.0
004,74,R.superiortemporal,R,cortex,233791.0
004,75,R.supramarginal,R,cortex,195758.0
004,76,R.transversetemporal,R,cortex,20132.0
004,77,R.insula,R,cortex,137324.0
004,78,R.Cerebellum-Cortex,R,cerebellum,314209.0
