0,391,98,46,13,166,55,3374,57,919,30,2079,130,104,2070,1203,97,739,12,447,4790,1093,8493,2190,1500,24114,275,215,239,24,424,99,1426,530,1366,566,169,9,124,375,168,379,171,50,2,2,958,476,26,2,3,42,15,132,14,81,4,165,31,23,316,502,21,102,3,56,303,192,314,389,708,11559,84,23,16,1,55,27
391,0,25,0,164,9699,1475,31,546,391,43,51,4790,6,521,20137,243,2492,3,11818,79,50404,409,38,28617,36723,6244,1823,6852,98,2310,369,4787,2496,5708,2731,26,30,4,617,119,600,342,23,3,1,491,1188,5,2,1,106,18,47,6,8,3,8,66,7,422,641,13,82,0,80,211,867,235,33,811,8266,123,28,51,1,72,130
98,25,0,687,1104,2939,2244,14327,18328,461,35618,93,2169,2912,182,34,77,45,12908,107,264,121,13004,46,72,342,12944,2477,160,83,372,168,2297,41,1257,611,8194,398,62,631,22,599,191,336,143,13,4,4,5715,19,238,492,359,1025,2426,87,1519,62,673,104,65,4,21,6,1051,47,31,26,3051,13,13,54,2504,723,44,21,144,63
46,0,687,0,1307,75,178,1441,838,59,1465,26,39,2999,0,1,12,2,175,0,39,4,619,19,10,100,343,178,0,0,25,81,48,5,65,15,2330,187,0,6,2,2,1,1,0,0,0,0,17,0,0,1,0,1,6,0,4,2,4,0,1,0,0,0,5,0,0,0,14,1,0,3,9,1,0,0,2,54
13,164,1104,1307,0,5384,22497,668,56938,1116,13964,126,3849,3141,21,122,183,77,646,99,23,256,462,26,201,272,1222,5935,97,28,348,547,1087,36,1145,479,3869,1206,41,156,11,101,36,19,23,6,0,4,209,0,12,66,40,54,125,5,72,27,96,5,10,0,1,1,43,11,6,8,509,3,2,37,353,133,9,4,13,203
166,9699,2939,75,5384,0,22528,2422,29773,966,665,172,79051,480,1693,3400,333,478,106,16159,473,17861,7429,50,2306,5397,86214,50386,44968,1259,3746,1042,9815,513,8688,4868,750,766,101,1767,66,942,512,128,195,25,62,188,1487,5,89,725,354,492,762,61,337,101,1046,26,439,66,12,11,269,172,227,383,5721,16,70,1281,3710,1381,190,108,249,314
55,1475,2244,178,22497,22528,0,820,48967,2969,13497,344,29069,2320,88,1709,500,358,1118,1370,134,3455,2012,72,1073,1234,4894,12348,1963,175,981,217,2449,123,3185,1471,1632,2893,97,640,41,310,166,55,53,16,24,34,619,2,25,242,114,143,310,35,221,85,397,10,77,9,2,3,125,48,64,39,2032,14,17,295,1372,527,76,39,81,68
3374,31,14327,1441,668,2422,820,0,12266,244,2179,596,1350,1459,75,51,36,37,2562,134,5040,119,24689,1116,197,4543,7916,2000,754,163,247,114,1139,110,530,277,1224,170,10,506,42,291,117,269,60,3,23,9,5591,25,182,302,246,204,2202,52,1715,32,452,154,124,8,22,8,1072,57,104,26,3648,7,33,206,1777,557,105,39,90,59
57,546,18328,838,56938,29773,48967,12266,0,4432,54552,663,33029,3637,93,385,1055,424,5561,408,102,837,5090,160,888,1125,14738,19209,465,171,2220,1928,11154,277,8550,3714,7902,3028,308,1469,95,1269,351,795,329,67,9,27,14026,49,591,1325,967,1426,6707,224,4022,295,1689,274,64,5,13,6,2876,52,69,68,6257,62,25,196,5818,1457,98,53,283,698
919,391,461,59,1116,966,2969,244,4432,0,2363,11255,3261,141,62,825,8215,2678,227,208,172,427,403,4532,14391,12760,534,11221,140,31,5815,327,4410,8337,17957,5824,275,277,4044,276,3182,402,98,71,16,824,75,16,171,0,13,62,21,34,92,2619,73,5811,55,7,38,19,97,109,38,11,22,22,317,1207,1166,4187,241,89,6,9,50,98
30,43,35618,1465,13964,665,13497,2179,54552,2363,0,233,7210,2703,4,63,471,204,16131,22,26,83,786,50,364,392,3334,8301,42,7,639,933,2875,59,3585,1076,5516,1460,47,111,15,128,34,67,25,7,0,1,893,1,33,79,62,144,433,17,426,32,98,18,5,0,0,1,182,5,1,4,326,4,4,33,337,98,5,7,37,272
2079,51,93,26,126,172,344,596,663,11255,233,0,405,42,69,64,315,143,29,41,529,68,618,10287,1519,10550,177,1232,32,6,587,1551,1623,3994,4869,1633,230,99,2365,247,5188,415,142,166,21,542,89,8,139,2,15,26,23,36,82,4683,101,10657,43,11,41,11,103,51,41,16,33,23,114,1617,1207,5506,90,67,5,4,58,670
130,4790,2169,39,3849,79051,29069,1350,33029,3261,7210,405,0,248,350,6668,1035,1017,614,5844,353,14447,5264,114,3214,3686,13623,34075,11948,404,2104,254,3187,336,4443,1779,501,1023,133,1627,82,732,419,112,161,35,45,125,882,1,51,608,279,326,426,41,279,125,894,10,320,46,6,9,171,151,157,157,4981,30,86,907,3044,1282,198,90,226,159
104,6,2912,2999,3141,480,2320,1459,3637,141,2703,42,248,0,11,6,22,9,935,28,110,21,1708,46,26,246,1260,2740,15,5,60,944,214,20,139,122,2292,672,14,61,14,50,61,10,12,2,0,4,85,1,6,36,30,20,63,10,31,6,64,4,11,1,0,0,18,13,1,8,195,4,6,30,148,77,5,5,13,414
2070,521,182,0,21,1693,88,75,93,62,4,69,350,11,0,408,54,106,4,8678,10791,7834,11349,235,147,6399,4770,477,1559,63,1195,437,11273,1851,5693,5706,51,18,16,3786,227,1280,1579,91,16,7,209,638,124,0,11,454,66,124,79,14,45,19,216,20,12253,89,6,31,34,1730,3006,7821,2616,14,141,6292,1534,401,281,49,190,213
1203,20137,34,1,122,3400,1709,51,385,825,63,64,6668,6,408,0,5488,15530,8,6769,103,24722,336,104,14017,27858,1915,6071,7575,365,3273,103,1873,1543,3019,918,16,28,3,382,144,420,179,34,3,1,538,334,10,2,1,31,11,69,9,29,9,45,52,4,246,733,18,226,5,56,158,200,234,247,2703,12130,101,61,28,3,71,36
97,243,77,12,183,333,500,36,1055,8215,471,315,1035,22,54,5488,0,7697,47,393,8,920,66,134,2111,5274,173,4422,242,26,14017,96,2630,2188,14221,3256,37,52,43,34,21,28,16,4,1,2,33,9,20,1,0,10,1,2,3,21,5,27,4,2,11,18,2,32,4,6,9,26,59,64,208,994,38,3,5,0,4,23
739,2492,45,2,77,478,358,37,424,2678,204,143,1017,9,106,15530,7697,0,20,996,22,3080,82,310,22260,18682,262,2199,888,64,10008,118,3013,1681,10753,2412,25,22,10,105,58,133,50,6,1,0,212,47,9,0,0,9,2,12,5,39,1,37,13,2,39,167,16,85,3,9,36,51,47,180,1166,4828,26,10,5,3,27,31
12,3,12908,175,646,106,1118,2562,5561,227,16131,29,614,935,4,8,47,20,0,2,17,9,1059,12,39,54,3720,770,6,0,72,16,503,9,341,151,2235,139,12,57,0,75,19,50,24,4,0,1,931,0,38,53,59,150,376,13,258,4,87,14,2,1,0,0,147,1,0,2,285,2,2,3,311,67,6,2,13,5
447,11818,107,0,99,16159,1370,134,408,208,22,41,5844,28,8678,6769,393,996,2,0,1871,100652,6222,46,2547,12538,29636,6496,73528,1128,14324,845,13678,1564,20683,10063,66,33,6,2269,157,700,621,39,36,1,102,335,91,1,7,223,68,51,60,5,30,12,243,5,3395,119,6,18,24,929,594,1398,1995,12,176,2652,1419,525,210,71,156,313
4790,79,264,39,23,473,134,5040,102,172,26,529,353,110,10791,103,8,22,17,1871,0,2574,29769,1404,102,11177,1092,597,600,78,347,114,2613,324,1199,821,176,12,14,989,77,342,305,23,16,6,59,114,60,1,2,120,38,83,24,15,13,13,116,8,3221,71,3,11,9,514,365,1249,1170,10,71,1831,529,240,88,32,62,70
1093,50404,121,4,256,17861,3455,119,837,427,83,68,14447,21,7834,24722,920,3080,9,100652,2574,0,5397,69,15054,48303,21819,8258,28280,519,10862,1251,23693,5090,26027,18848,212,56,28,4595,359,2744,2724,139,21,6,827,4603,111,4,15,965,113,182,73,24,54,18,347,31,12650,602,38,119,27,1477,3024,14154,2214,57,695,21846,1547,296,313,45,291,545
