subject,fs_default_index,name,side,region_type,strength
039,1,L.caudalanteriorcingulate,L,cortex,95616.0
039,2,L.caudalmiddlefrontal,L,cortex,221944.0
039,3,L.cuneus,L,cortex,90624.0
039,4,L.entorhinal,L,cortex,7658.0
039,5,L.fusiform,L,cortex,110335.0
039,6,L.inferiorparietal,L,cortex,387824.0
039,7,L.inferiortemporal,L,cortex,160812.0
039,8,L.isthmuscingulate,L,cortex,98397.0
039,9,L.lateraloccipital,L,cortex,333141.0
039,10,L.lateralorbitofrontal,L,cortex,160897.0
039,11,L.lingual,L,cortex,163819.0
039,12,L.medialorbitofrontal,L,cortex,86607.0
039,13,L.middletemporal,L,cortex,232096.0
039,14,L.parahippocampal,L,cortex,24886.0
039,15,L.paracentral,L,cortex,139858.0
039,16,L.parsopercularis,L,cortex,181555.0
039,17,L.parsorbitalis,L,cortex,47231.0
039,18,L.parstriangularis,L,cortex,157904.0
039,19,L.pericalcarine,L,cortex,50386.0
039,20,L.postcentral,L,cortex,357454.0
039,21,L.posteriorcingulate,L,cortex,93063.0
039,22,L.precentral,L,cortex,567436.0
039,23,L.precuneus,L,cortex,232100.0
039,24,L.rostralanteriorcingulate,L,cortex,92237.0
039,25,L.rostralmiddlefrontal,L,cortex,239238.0
039,26,L.superiorfrontal,L,cortex,815936.0
039,27,L.superiorparietal,L,cortex,419211.0
039,28,L.superiortemporal,L,cortex,254499.0
039,29,L.supramarginal,L,cortex,254880.0
039,30,L.transversetemporal,L,cortex,28921.0
039,31,L.insula,L,cortex,102605.0
039,32,L.Cerebellum-Cortex,L,cerebellum,302845.0
039,33,L.Thalamus-Proper,L,subcortical,389531.0
039,34,L.Caudate,L,subcortical,160301.0
039,35,L.Putamen,L,subcortical,343397.0
039,36,L.Pallidum,L,subcortical,170103.0
039,37,L.Hippocampus,L,subcortical,75112.0
039,38,L.Amygdala,L,subcortical,24032.0
039,39,L.Accumbens-area,L,subcortical,17888.0
039,40,R.Thalamus-Proper,R,subcortical,339664.0
039,41,R.Caudate,R,subcortical,138903.0
039,42,R.Putamen,R,subcortical,359340.0
039,43,R.Pallidum,R,subcortical,187218.0
039,44,R.Hippocampus,R,subcortical,74365.0
039,45,R.Amygdala,R,subcortical,28928.0
039,46,R.Accumbens-area,R,subcortical,12417.0
039,47,R.caudalanteriorcingulate,R,cortex,67498.0
039,48,R.caudalmiddlefrontal,R,cortex,224698.0
039,49,R.cuneus,R,cortex,139367.0
039,50,R.entorhinal,R,cortex,16777.0
039,51,R.fusiform,R,cortex,126208.0
039,52,R.inferiorparietal,R,cortex,357469.0
039,53,R.inferiortemporal,R,cortex,222573.0
039,54,R.isthmuscingulate,R,cortex,83560.0
039,55,R.lateraloccipital,R,cortex,260569.0
039,56,R.lateralorbitofrontal,R,cortex,176331.0
039,57,R.lingual,R,cortex,163528.0
039,58,R.medialorbitofrontal,R,cortex,81749.0
039,59,R.middletemporal,R,cortex,293579.0
039,60,R.parahippocampal,R,cortex,25528.0
039,61,R.paracentral,R,cortex,135750.0
039,62,R.parsopercularis,R,cortex,148106.0
039,63,R.parsorbitalis,R,cortex,80413.0
039,64,R.parstriangularis,R,cortex,125158.0
039,65,R.pericalcarine,R,cortex,67358.0
039,66,R.postcentral,R,cortex,314754.0
039,67,R.posteriorcingulate,R,cortex,90031.0
039,68,R.precentral,R,cortex,593125.0
039,69,R.precuneus,R,cortex,260931.0
039,70,R.rostralanteriorcingulate,R,cortex,77402.0
039,71,R.rostralmiddlefrontal,R,cortex,332587.0
039,72,R.superiorfrontal,R,cortex,867710.0
039,73,R.superiorparietal,R,cortex,369563.0
039,74,R.superiortemporal,R,cortex,229518.0
039,75,R.supramarginal,R,cortex,223405.0
039,76,R.transversetemporal,R,cortex,12722.0
039,77,R.insula,R,cortex,148971.0
039,78,R.Cerebellum-Cortex,R,cerebellum,310362.0
