subject,roi_name,region_type,L_index,R_index,L_strength,R_strength,side_ai,log_ai
061,Accumbens-area,subcortical,39,46,18106.0,24551.0,-0.1510889185831165,-0.3045092115552628
061,Amygdala,subcortical,38,45,33740.0,41977.0,-0.10878666613838373,-0.2184377721198526
061,Caudate,subcortical,34,41,184097.0,171637.0,0.03502617124030877,0.07008101108735763
061,Cerebellum-Cortex,cerebellum,32,78,237738.0,234905.0,0.005993953152802432,0.011988049873765245
061,Hippocampus,subcortical,37,44,66949.0,79867.0,-0.08798768526591107,-0.1764316156813399
061,Pallidum,subcortical,36,43,169275.0,179159.0,-0.028366921712576845,-0.05674906834877661
061,Putamen,subcortical,35,42,305706.0,331354.0,-0.04025994411829341,-0.08056343449918696
061,Thalamus-Proper,subcortical,33,40,399510.0,346993.0,0.07035068847680451,0.1409341893494428
061,caudalanteriorcingulate,cortex,1,47,75127.0,66424.0,0.061483140352240534,0.1231215778374482
061,caudalmiddlefrontal,cortex,2,48,270480.0,233969.0,0.07237798072748682,0.14500953045047696
061,cuneus,cortex,3,49,154247.0,177146.0,-0.06909922659802711,-0.13841903767201827
061,entorhinal,cortex,4,50,12868.0,13325.0,-0.01744740961325545,-0.034898360675128366
061,fusiform,cortex,5,51,172276.0,139249.0,0.10601717358157452,0.2128341444461244
061,inferiorparietal,cortex,6,52,378087.0,399071.0,-0.027000944466890903,-0.054015018054420535
061,inferiortemporal,cortex,7,53,193796.0,209176.0,-0.03816642347359122,-0.07636994344748319
061,insula,cortex,31,77,135804.0,142316.0,-0.02341435351646771,-0.04683726751345607
061,isthmuscingulate,cortex,8,54,78077.0,95532.0,-0.1005420225909947,-0.20176575065890096
061,lateraloccipital,cortex,9,55,268011.0,238796.0,0.05764521800211915,0.11541839348526563
061,lateralorbitofrontal,cortex,10,56,133508.0,141212.0,-0.028043098427489806,-0.05610090614524374
061,lingual,cortex,11,57,207590.0,160627.0,0.12754163984824166,0.2564800736408687
061,medialorbitofrontal,cortex,12,58,114848.0,98453.0,0.07686321208058096,0.15403023802335883
061,middletemporal,cortex,13,59,258319.0,261777.0,-0.00664877253430136,-0.013297741018340243
061,paracentral,cortex,15,61,144552.0,164071.0,-0.06324544833016334,-0.12665995655815573
061,parahippocampal,cortex,14,60,26522.0,33557.0,-0.11709582383195459,-0.23527090821439112
061,parsopercularis,cortex,16,62,135065.0,146973.0,-0.04222126096483453,-0.08449275239441573
061,parsorbitalis,cortex,17,63,67461.0,80036.0,-0.085255971307891,-0.17092688033144077
061,parstriangularis,cortex,18,64,99656.0,114686.0,-0.0701215813979528,-0.14047370356049316
061,pericalcarine,cortex,19,65,72722.0,75794.0,-0.0206846400387837,-0.04137518160122238
061,postcentral,cortex,20,66,341874.0,319553.0,0.03374673244364079,0.0675191038718827
061,posteriorcingulate,cortex,21,67,85053.0,90358.0,-0.030243257264367687,-0.060504966078989704
061,precentral,cortex,22,68,509090.0,451155.0,0.06033356070586152,0.12081385704146438
061,precuneus,cortex,23,69,273650.0,310555.0,-0.06317131828724507,-0.1265111017526873
061,rostralanteriorcingulate,cortex,24,70,53612.0,49884.0,0.03602071577645513,0.07207261355774948
061,rostralmiddlefrontal,cortex,25,71,337625.0,385770.0,-0.06655423385563904,-0.13330552483767769
061,superiorfrontal,cortex,26,72,822147.0,904839.0,-0.04788226424533841,-0.09583781613684818
061,superiorparietal,cortex,27,73,432800.0,373453.0,0.07360840827879091,0.14748356755755268
061,superiortemporal,cortex,28,74,293941.0,266157.0,0.04960560473345736,0.09929270669658408
061,supramarginal,cortex,29,75,290749.0,208067.0,0.1657565114190403,0.3346002087940369
061,transversetemporal,cortex,30,76,22365.0,19891.0,0.05854789852328664,0.11722986876188778
