0,1042,7,6,24,151,62,7169,25,779,36,1890,146,53,4317,975,170,509,3,385,18398,1291,4033,6330,1353,35410,576,174,107,16,1254,87,3374,3978,3141,879,79,9,510,727,773,880,260,9,1,24,2133,819,5,0,3,108,12,79,10,214,8,181,43,4,251,774,53,332,5,108,454,575,82,217,3591,18275,85,48,79,4,260,56
1042,0,18,2,312,6492,1665,118,255,221,55,44,4564,8,1449,20336,258,5264,12,13440,445,62919,569,117,31950,46817,5872,1333,6271,91,3808,236,5399,3988,6017,1960,54,10,5,1312,646,998,398,12,4,8,1093,4236,11,0,3,329,31,97,16,20,9,21,148,2,526,941,18,203,3,372,653,1991,193,79,2608,29144,208,97,213,4,390,156
7,18,0,28,3998,4993,2504,6902,23899,542,21197,115,3277,773,43,15,72,65,14162,44,56,61,9436,284,60,73,7183,3376,174,94,1184,159,3250,129,1889,718,1762,163,23,782,54,571,172,476,124,32,8,11,3066,3,848,1726,803,1822,2676,94,1832,191,999,215,273,5,12,19,1532,48,76,127,4179,2,14,160,3117,916,78,21,220,74
6,2,28,0,916,43,957,408,92,50,344,9,181,1684,9,0,7,7,24,4,3,5,100,11,4,8,29,2077,2,1,81,30,223,5,65,52,3485,257,2,7,0,2,3,7,1,0,2,1,5,0,3,3,3,14,2,1,14,2,5,1,0,1,0,0,6,0,1,2,13,0,0,3,6,2,0,0,2,109
24,312,3998,916,0,18717,25462,2946,47480,1264,24459,159,9450,5594,107,65,212,155,2757,411,156,470,3953,229,167,371,7559,9875,570,198,1555,1963,3444,173,2237,916,6639,650,40,433,48,252,120,380,48,24,7,16,783,3,331,846,284,827,815,49,1001,118,424,141,161,3,1,5,510,62,62,86,1394,2,13,138,1115,450,80,10,93,546
151,6492,4993,43,18717,0,21607,7686,42529,907,2184,89,39707,557,967,779,186,343,637,10495,1283,10017,18257,165,1166,2978,69464,26666,23352,1835,6150,719,13613,1029,8304,3801,1440,312,14,1968,187,1055,401,444,152,18,49,154,918,2,437,2934,918,1650,1106,133,722,76,1678,73,796,26,38,33,500,375,519,482,4563,9,69,1226,3591,1909,367,72,444,293
62,1665,2504,957,25462,21607,0,1975,18773,1739,11004,158,21411,5832,479,585,394,445,2107,2591,638,4079,6116,91,658,1261,6981,11958,4556,353,2770,254,4135,323,3075,1496,10143,2569,39,691,39,309,128,164,50,4,21,31,330,2,137,972,257,568,346,40,294,27,512,30,210,4,3,6,183,150,167,82,1535,0,17,237,1183,674,140,29,157,65
7169,118,6902,408,2946,7686,1975,0,4977,308,5435,224,2225,1932,905,86,71,103,2005,305,6811,310,26616,2368,218,5291,9171,2763,793,236,823,154,2751,544,1330,619,1838,98,41,471,87,283,97,341,42,6,128,47,1109,9,335,763,278,749,833,80,1267,41,415,241,232,33,18,39,569,106,213,133,2251,29,181,994,1255,453,94,19,121,61
25,255,23899,92,47480,42529,18773,4977,0,1946,26280,257,17696,1249,139,79,356,291,10158,366,172,549,7824,312,291,466,22638,14134,828,349,4571,672,10856,445,6767,2357,3460,547,45,928,70,603,225,493,119,53,11,21,2252,6,845,2037,850,1485,2242,99,1532,173,1009,185,322,3,12,4,1268,80,109,145,3682,4,8,227,3163,1048,117,18,245,211
779,221,542,50,1264,907,1739,308,1946,0,2105,12406,3591,249,109,339,11172,3609,476,108,334,230,912,3932,9518,15135,546,4148,211,63,7919,52,2890,9451,16401,2854,796,101,2020,254,732,322,75,42,15,130,263,18,61,2,18,204,39,95,66,2505,67,2447,121,6,49,33,231,312,48,55,57,24,319,809,1141,7661,234,155,42,8,84,21
36,55,21197,344,24459,2184,11004,5435,26280,2105,0,375,8948,3605,63,37,357,314,12369,88,109,145,4128,571,246,357,3602,6855,220,36,2187,2359,4252,233,3156,1168,6209,443,101,703,105,462,279,1205,98,77,6,10,2265,26,903,1234,668,2301,1874,133,3871,300,860,618,459,7,30,20,1537,98,83,192,3356,9,25,234,1926,910,120,23,207,898
1890,44,115,9,159,89,158,224,257,12406,375,0,294,40,108,47,1030,401,105,43,564,58,159,8603,1951,8619,92,330,15,4,1204,192,1102,7658,5626,1023,499,101,2987,415,1582,464,101,162,15,429,447,15,164,1,50,117,55,67,146,5109,172,5803,143,20,158,23,308,317,74,33,75,63,217,1708,1334,10765,165,113,37,3,89,166
146,4564,3277,181,9450,39707,21411,2225,17696,3591,8948,294,0,1339,999,1749,1101,1292,2732,7924,1108,14447,9126,121,2072,3658,12641,41110,27942,771,8701,306,6985,729,6819,2388,4270,738,54,972,94,465,182,159,59,9,37,64,330,3,147,1297,305,683,351,56,321,33,662,37,437,18,6,5,190,271,311,159,1997,13,48,586,1556,920,222,34,206,112
53,8,773,1684,5594,557,5832,1932,1249,249,3605,40,1339,0,18,5,17,22,505,21,95,28,1856,79,25,79,539,4459,25,14,191,1036,500,55,290,211,4525,436,13,59,14,40,50,120,7,10,3,6,109,1,62,57,34,331,121,11,319,43,49,49,30,1,3,2,119,12,19,13,239,0,5,31,106,50,4,1,12,602
4317,1449,43,9,107,967,479,905,139,109,63,108,999,18,0,1113,47,238,11,10279,15992,14473,12217,629,668,21172,5285,1423,2808,265,4798,993,19789,5580,10747,7949,261,46,33,3998,1265,1849,1435,90,21,52,391,881,21,1,23,870,89,427,68,37,37,215,313,10,14041,161,7,30,20,2049,5440,7563,1939,18,370,12484,1690,584,750,75,745,469
975,20336,15,0,65,779,585,86,79,339,37,47,1749,5,1113,0,1198,11700,7,3026,558,11042,325,97,24495,33452,929,1134,2288,110,2649,93,3583,1767,3773,1167,32,5,3,140,108,147,51,3,0,2,148,264,0,0,0,20,1,9,2,17,2,10,9,2,106,112,8,42,0,30,96,167,27,14,554,2813,27,5,20,1,42,40
170,258,72,7,212,186,394,71,356,11172,357,1030,1101,17,47,1198,0,5447,96,101,86,325,150,495,4826,7371,130,1096,50,15,9524,16,2852,5702,14521,2698,168,11,95,65,148,131,23,3,0,4,84,6,4,0,0,19,2,13,1,403,4,182,6,0,13,8,90,141,4,9,8,7,29,165,409,2441,23,13,3,0,18,5
509,5264,65,7,155,343,445,103,291,3609,314,401,1292,22,238,11700,5447,0,59,598,184,3317,179,471,15517,15550,279,1087,348,21,13454,50,5230,6079,17164,3330,143,11,18,157,277,236,62,2,0,5,178,52,2,0,1,24,1,28,4,204,6,97,10,0,26,74,86,214,3,15,34,50,32,176,918,3674,23,8,8,2,64,34
3,12,14162,24,2757,637,2107,2005,10158,476,12369,105,2732,505,11,7,96,59,0,29,22,34,1972,169,64,93,2833,2170,63,14,753,77,1811,81,1240,413,1238,128,31,385,45,234,97,274,49,23,7,7,1022,4,326,718,377,643,898,48,942,101,437,154,154,3,11,8,566,32,58,64,1478,2,14,71,1174,431,56,10,98,47
385,13440,44,4,411,10495,2591,305,366,108,88,43,7924,21,10279,3026,101,598,29,0,2421,65087,2502,79,2156,9569,16520,6338,39346,1012,16882,948,17007,3660,17968,8585,188,37,10,1218,309,528,358,42,8,12,96,351,29,0,15,432,55,169,39,13,12,49,204,12,3526,43,2,15,14,883,1347,1563,1000,3,88,3097,851,478,462,50,267,329
18398,445,56,3,156,1283,638,6811,172,334,109,564,1108,95,15992,558,86,184,22,2421,0,3966,25490,4708,607,17249,3742,1457,1149,203,1377,308,6260,2129,3169,2147,286,39,121,1161,440,655,403,46,10,11,547,382,32,0,25,417,70,293,33,63,27,92,210,4,2881,146,11,54,8,582,1392,1586,913,53,679,6388,670,358,299,32,237,131
1291,62919,61,5,470,10017,4079,310,549,230,145,58,14447,28,14473,11042,325,3317,34,65087,3966,0,2835,210,13354,69256,15649,8098,31831,784,17455,1492,25599,9049,24980,14499,264,48,9,3068,1098,1848,1322,49,10,34,457,3111,12,0,25,611,58,150,40,16,21,123,192,4,7292,244,11,57,8,1035,3269,6681,714,19,568,24184,691,206,336,22,581,690
4033,569,9436,100,3953,18257,6116,26616,7824,912,4128,159,9126,1856,12217,325,150,179,1972,2502,25490,2835,0,920,343,7229,22684,12090,6512,1541,4461,789,16904,1815,7434,3904,2991,331,32,4070,534,1949,894,714,222,31,214,220,2131,3,684,4724,1204,4354,2104,175,1291,156,2286,157,4294,56,48,48,1036,1731,3074,1549,9315,17,206,2539,7048,3226,1080,185,993,384
6330,117,284,11,229,165,91,2368,312,3932,571,8603,121,79,629,97,495,471,169,79,4708,210,920,0,1837,23568,233,158,19,3,535,52,1346,2862,2144,575,1019,88,1111,672,979,714,166,245,19,136,964,56,443,1,121,334,160,115,377,2304,355,2691,292,42,440,117,205,364,202,133,125,158,595,971,1854,11982,405,292,70,9,174,51
1353,31950,60,4,167,1166,658,218,291,9518,246,1951,2072,25,668,24495,4826,15517,64,2156,607,13354,343,1837,0,58211,948,1153,1416,34,11305,203,13127,14847,21713,5281,161,10,109,1028,1567,1456,336,12,3,44,881,507,5,0,1,75,10,60,8,1278,8,706,36,2,92,718,372,1077,4,80,193,401,71,962,6968,22778,50,38,69,1,389,108
35410,46817,73,8,371,2978,1261,5291,466,15135,357,8619,3658,79,21172,33452,7371,15550,93,9569,17249,69256,7229,23568,58211,0,5771,2240,3228,178,27755,1808,48599,32796,52059,17225,481,52,852,8048,7126,7552,2682,100,20,270,9506,10723,18,0,30,1210,122,510,55,5649,38,4051,531,22,4751,4396,1366,3990,20,1674,5879,9360,838,4446,26260,145495,957,401,852,31,2327,966
576,5872,7183,29,7559,69464,6981,9171,22638,546,3602,92,12641,539,5285,929,130,279,2833,16520,3742,15649,22684,233,948,5771,0,15099,31282,2678,8358,932,16934,1981,10068,5200,1341,244,28,2329,312,1106,526,407,124,20,102,265,1706,11,518,2884,821,1894,1655,141,900,96,1653,88,2193,46,29,26,787,940,1204,1060,5570,10,102,2341,4108,2130,584,103,560,347
174,1333,3376,2077,9875,26666,11958,2763,14134,4148,6855,330,41110,4459,1423,1134,1096,1087,2170,6338,1457,8098,12090,158,1153,2240,15099,0,25176,11471,14710,394,7630,690,9339,2751,11160,6207,73,999,111,487,181,167,56,5,34,43,266,2,129,1201,282,669,280,53,256,42,642,39,708,6,6,8,178,439,462,202,2018,5,34,436,1582,935,293,42,212,129
107,6271,174,2,570,23352,4556,793,828,211,220,15,27942,25,2808,2288,50,348,63,39346,1149,31831,6512,19,1416,3228,31282,25176,0,3751,10134,369,7624,1121,8088,3009,323,63,3,721,102,298,144,106,37,2,17,72,80,0,40,549,99,374,84,23,103,15,298,16,564,10,7,6,66,309,418,210,922,3,26,627,885,439,203,29,147,114
16,91,94,1,198,1835,353,236,349,63,36,4,771,14,265,110,15,21,14,1012,203,784,1541,3,34,178,2678,11471,3751,0,1384,54,847,128,1073,292,29,10,1,109,16,36,22,15,4,1,6,4,19,0,6,59,7,41,12,0,3,1,32,3,145,1,0,0,5,78,77,40,130,0,5,70,117,57,32,6,20,17
1254,3808,1184,81,1555,6150,2770,823,4571,7919,2187,1204,8701,191,4798,2649,9524,13454,753,16882,1377,17455,4461,535,11305,27755,8358,14710,10134,1384,0,169,4784,2147,7115,1652,575,150,90,488,163,332,158,55,15,6,220,281,134,1,33,443,108,188,130,72,94,55,218,5,561,102,22,68,64,199,300,322,751,79,504,3094,498,376,139,17,134,72
87,236,159,30,1963,719,254,154,672,52,2359,192,306,1036,993,93,16,50,77,948,308,1492,789,52,203,1808,932,394,369,54,169,0,12687,2150,2199,9564,326,554,90,4257,1043,1479,4761,221,90,91,49,188,39,5,761,208,30,76,108,38,1035,221,66,334,303,65,10,33,23,259,156,722,241,11,149,883,285,137,70,15,75,135008
3374,5399,3250,223,3444,13613,4135,2751,10856,2890,4252,1102,6985,500,19789,3583,2852,5230,1811,17007,6260,25599,16904,1346,13127,48599,16934,7630,7624,847,4784,12687,0,26045,14632,12560,7089,1649,660,2267,662,1258,1071,281,84,61,386,663,447,7,181,1657,427,740,501,172,383,226,1053,52,3029,163,39,88,199,912,1271,1482,2889,76,668,6606,2060,1487,584,95,508,4895
3978,3988,129,5,173,1029,323,544,445,9451,233,7658,729,55,5580,1767,5702,6079,81,3660,2129,9049,1815,2862,14847,32796,1981,690,1121,128,2147,2150,26045,0,10687,9746,829,155,130,413,303,298,226,41,11,31,328,159,28,1,22,112,38,52,45,739,42,1121,60,13,569,84,74,123,19,104,204,271,182,345,740,4717,150,101,56,4,76,934
3141,6017,1889,65,2237,8304,3075,1330,6767,16401,3156,5626,6819,290,10747,3773,14521,17164,1240,17968,3169,24980,7434,2144,21713,52059,10068,9339,8088,1073,7115,2199,14632,10687,0,3586,874,198,595,992,391,611,343,137,34,25,405,549,204,1,87,834,201,320,265,315,182,227,454,33,1141,158,66,136,105,355,573,775,1332,220,898,6636,949,596,221,31,239,1078
879,1960,718,52,916,3801,1496,619,2357,2854,1168,1023,2388,211,7949,1167,2698,3330,413,8585,2147,14499,3904,575,5281,17225,5200,2751,3009,292,1652,9564,12560,9746,3586,0,718,150,589,941,271,433,690,123,30,17,120,241,117,0,59,377,108,172,140,67,126,89,224,52,889,50,20,44,62,202,366,528,645,43,217,2582,445,308,122,19,125,5398
79,54,1762,3485,6639,1440,10143,1838,3460,796,6209,499,4270,4525,261,32,168,143,1238,188,286,264,2991,1019,161,481,1341,11160,323,29,575,326,7089,829,874,718,0,1259,161,368,85,195,152,285,38,71,14,14,285,2,144,432,141,571,299,50,696,305,271,118,200,7,9,11,221,109,96,64,930,7,17,154,565,380,101,16,84,313
9,10,163,257,650,312,2569,98,547,101,443,101,738,436,46,5,11,11,128,37,39,48,331,88,10,52,244,6207,63,10,150,554,1649,155,198,150,1259,0,107,94,19,29,35,20,2,1,4,2,34,0,13,61,17,33,25,2,22,9,37,5,29,0,0,0,10,15,15,12,101,0,2,25,85,49,14,3,10,266
510,5,23,2,40,14,39,41,45,2020,101,2987,54,13,33,3,95,18,31,10,121,9,32,1111,109,852,28,73,3,1,90,90,660,130,595,589,161,107,0,73,48,40,11,29,1,17,56,2,29,0,14,34,18,12,35,201,48,391,30,5,32,3,15,5,28,7,13,12,68,77,38,353,38,27,8,0,13,72
727,1312,782,7,433,1968,691,471,928,254,703,415,972,59,3998,140,65,157,385,1218,1161,3068,4070,672,1028,8048,2329,999,721,109,488,4257,2267,413,992,941,368,94,73,0,30761,15559,10497,7017,1393,1081,2756,7396,2527,107,1346,8986,2417,3224,6174,3149,2637,1579,8068,401,15615,3314,2352,5320,1720,14997,7715,32463,10526,712,13752,41878,14030,10637,3166,477,4144,11988
773,646,54,0,48,187,39,87,70,732,105,1582,94,14,1265,108,148,277,45,309,440,1098,534,979,1567,7126,312,111,102,16,163,1043,662,303,391,271,85,19,48,30761,0,16801,13105,697,285,358,2188,5037,100,3,79,2027,256,370,269,13415,144,6472,1100,38,4467,2638,5063,7034,87,3202,1880,14169,1052,2006,20094,40673,1737,953,1350,132,2394,2705
880,998,571,2,252,1055,309,283,603,322,462,464,465,40,1849,147,131,236,234,528,655,1848,1949,714,1456,7552,1106,487,298,36,332,1479,1258,298,611,433,195,29,40,15559,16801,0,3542,1288,336,949,2564,6353,2323,97,1279,6897,2417,1767,5754,18826,3220,4892,7395,342,7145,7276,14179,19479,1625,16852,4306,29997,5398,1272,25591,43546,8344,11944,6032,1251,6669,3697
260,398,172,3,120,401,128,97,225,75,279,101,182,50,1435,51,23,62,97,358,403,1322,894,166,336,2682,526,181,144,22,158,4761,1071,226,343,690,152,35,11,10497,13105,3542,0,673,197,597,796,2704,597,41,394,3217,812,687,1460,3137,675,846,2011,131,5302,2226,2559,3075,395,7942,2438,20602,2129,299,5539,15666,3693,3166,2221,464,1835,9728
9,12,476,7,380,444,164,341,493,42,1205,162,159,120,90,3,3,2,274,42,46,49,714,245,12,100,407,167,106,15,55,221,281,41,137,123,285,20,29,7017,697,1288,673,0,1147,273,65,60,1723,2590,5355,1248,11427,2326,3931,1235,5314,782,9080,3350,234,53,348,301,1536,277,261,393,3049,30,222,499,1795,8284,118,31,988,392
1,4,124,1,48,152,50,42,119,15,98,15,59,7,21,0,0,0,49,8,10,10,222,19,3,20,124,56,37,4,15,90,84,11,34,30,38,2,1,1393,285,336,197,1147,0,140,14,9,577,323,711,368,3091,236,1522,163,1102,145,3328,372,59,8,35,46,466,58,56,100,535,17,36,85,495,7338,36,12,157,380
24,8,32,0,24,18,4,6,53,130,77,429,9,10,52,2,4,5,23,12,11,34,31,136,44,270,20,5,2,1,6,91,61,31,25,17,71,1,17,1081,358,949,597,273,140,0,979,11,86,5,49,79,61,112,84,2846,124,2749,129,24,76,22,203,116,51,32,165,39,128,1080,314,2491,98,162,15,2,160,192
2133,1093,8,2,7,49,21,128,11,263,6,447,37,3,391,148,84,178,7,96,547,457,214,964,881,9506,102,34,17,6,220,49,386,328,405,120,14,4,56,2756,2188,2564,796,65,14,979,0,869,17,2,24,508,74,5397,42,410,26,2702,281,28,4334,1705,150,1080,15,562,11323,1578,3996,5335,3393,42430,845,367,472,31,952,112
819,4236,11,1,16,154,31,47,21,18,10,15,64,6,881,264,6,52,7,351,382,3111,220,56,507,10723,265,43,72,4,281,188,663,159,549,241,14,2,2,7396,5037,6353,2704,60,9,11,869,0,11,1,59,8077,655,104,123,78,29,39,2493,15,803,12941,119,1333,17,10137,740,47388,313,117,32456,37710,3143,590,4126,51,2718,458
5,11,3066,5,783,918,330,1109,2252,61,2265,164,330,109,21,0,4,2,1022,29,32,12,2131,443,5,18,1706,266,80,19,134,39,447,28,204,117,285,34,29,2527,100,2323,597,1723,577,86,17,11,0,22,3162,2244,3248,4783,16486,494,13863,363,4525,557,131,18,119,115,12089,45,45,128,11464,11,77,183,8765,4434,110,40,979,238
0,0,3,0,3,2,2,9,6,2,26,1,3,1,1,0,0,0,4,0,0,0,3,1,0,0,11,2,0,0,1,5,7,1,1,0,2,0,0,107,3,97,41,2590,323,5,2,1,22,0,617,32,792,278,102,93,176,8,255,1030,0,0,9,6,42,0,7,2,111,1,4,7,46,573,1,0,79,30
3,3,848,3,331,437,137,335,845,18,903,50,147,62,23,0,0,1,326,15,25,25,684,121,1,30,518,129,40,6,33,761,181,22,87,59,144,13,14,1346,79,1279,394,5355,711,49,24,59,3162,617,0,9931,27355,3294,68386,835,16757,147,8145,3777,77,30,202,154,3916,101,99,152,2966,6,102,202,6165,5638,167,19,870,2815
108,329,1726,3,846,2934,972,763,2037,204,1234,117,1297,57,870,20,19,24,718,432,417,611,4724,334,75,1210,2884,1201,549,59,443,208,1657,112,834,377,432,61,34,8986,2027,6897,3217,1248,368,79,508,8077,2244,32,9931,0,20023,9428,27651,503,1436,281,50971,517,1846,3661,201,531,886,21616,2839,20967,21453,75,3334,6518,72000,21180,24507,549,4134,781
12,31,803,3,284,918,257,278,850,39,668,55,305,34,89,1,2,1,377,55,70,58,1204,160,10,122,821,282,99,7,108,30,427,38,201,108,141,17,18,2417,256,2417,812,11427,3091,61,74,655,3248,792,27355,20023,0,2896,27275,1831,12138,238,22375,6189,296,315,333,238,5094,1087,457,1366,4605,18,454,773,5963,6719,1889,60,1571,171
79,97,1822,14,827,1650,568,749,1485,95,2301,67,683,331,427,9,13,28,643,169,293,150,4354,115,60,510,1894,669,374,41,188,76,740,52,320,172,571,33,12,3224,370,1767,687,2326,236,112,5397,104,4783,278,3294,9428,2896,0,5782,365,7111,293,4056,2096,1097,172,121,211,2640,513,7731,411,28976,915,366,5529,13320,4924,1043,203,979,273
10,16,2676,2,815,1106,346,833,2242,66,1874,146,351,121,68,2,1,4,898,39,33,40,2104,377,8,55,1655,280,84,12,130,108,501,45,265,140,299,25,35,6174,269,5754,1460,3931,1522,84,42,123,16486,102,68386,27651,27275,5782,0,1619,30973,433,20842,1534,211,79,424,425,12979,310,244,379,7898,17,333,480,25188,14250,559,109,2942,563
214,20,94,1,49,133,40,80,99,2505,133,5109,56,11,37,17,403,204,48,13,63,16,175,2304,1278,5649,141,53,23,0,72,38,172,739,315,67,50,2,201,3149,13415,18826,3137,1235,163,2846,410,78,494,93,835,503,1831,365,1619,0,1988,12989,5887,398,79,503,18219,4404,697,96,146,201,505,2105,8825,14911,440,5802,95,14,7661,127
8,9,1832,14,1001,722,294,1267,1532,67,3871,172,321,319,37,2,4,6,942,12,27,21,1291,355,8,38,900,256,103,3,94,1035,383,42,182,126,696,22,48,2637,144,3220,675,5314,1102,124,26,29,13863,176,16757,1436,12138,7111,30973,1988,0,432,12288,2440,93,71,533,489,16647,69,82,124,3816,21,306,414,4279,7249,112,13,2050,2426
181,21,191,2,118,76,27,41,173,2447,300,5803,33,43,215,10,182,97,101,49,92,123,156,2691,706,4051,96,42,15,1,55,221,226,1121,227,89,305,9,391,1579,6472,4892,846,782,145,2749,2702,39,363,8,147,281,238,293,433,12989,432,0,564,62,322,42,556,301,253,94,505,156,497,5217,899,14728,399,589,68,15,1421,385
43,148,999,5,424,1678,512,415,1009,121,860,143,662,49,313,9,6,10,437,204,210,192,2286,292,36,531,1653,642,298,32,218,66,1053,60,454,224,271,37,30,8068,1100,7395,2011,9080,3328,129,281,2493,4525,255,8145,50971,22375,4056,20842,5887,12288,564,0,2533,1025,1468,1581,1219,5714,4131,1518,5650,9005,47,1922,3245,11680,28555,13361,160,6874,413
4,2,215,1,141,73,30,241,185,6,618,20,37,49,10,2,0,0,154,12,4,4,157,42,2,22,88,39,16,3,5,334,52,13,33,52,118,5,5,401,38,342,131,3350,372,24,28,15,557,1030,3777,517,6189,2096,1534,398,2440,62,2533,0,30,7,60,58,656,25,104,43,2640,2,31,92,807,2695,20,9,351,689
251,526,273,0,161,796,210,232,322,49,459,158,437,30,14041,106,13,26,154,3526,2881,7292,4294,440,92,4751,2193,708,564,145,561,303,3029,569,1141,889,200,29,32,15615,4467,7145,5302,234,59,76,4334,803,131,0,77,1846,296,1097,211,79,93,322,1025,30,0,444,22,94,55,11466,20406,10757,11792,299,465,23993,9492,1693,3846,208,3311,810
774,941,5,1,3,26,4,33,3,33,7,23,18,1,161,112,8,74,3,43,146,244,56,117,718,4396,46,6,10,1,102,65,163,84,158,50,7,0,3,3314,2638,7276,2226,53,8,22,1705,12941,18,0,30,3661,315,172,79,503,71,42,1468,7,444,0,1558,10003,36,2813,462,17957,221,199,17727,25601,793,748,4240,26,4563,163
53,18,12,0,1,38,3,18,12,231,30,308,6,3,7,8,90,86,11,2,11,11,48,205,372,1366,29,6,7,0,22,10,39,74,66,20,9,0,15,2352,5063,14179,2559,348,35,203,150,119,119,9,202,201,333,121,424,18219,533,556,1581,60,22,1558,0,6378,208,76,68,418,175,228,7287,5797,153,1455,109,14,7802,32
332,203,19,0,5,33,6,39,4,312,20,317,5,2,30,42,141,214,8,15,54,57,48,364,1077,3990,26,8,6,0,68,33,88,123,136,44,11,0,5,5320,7034,19479,3075,301,46,116,1080,1333,115,6,154,531,238,211,425,4404,489,301,1219,58,94,10003,6378,0,191,352,232,2268,199,467,19265,17340,220,1107,536,6,13050,68
