subject,roi_name,region_type,L_index,R_index,L_strength,R_strength,side_ai,log_ai
070,Accumbens-area,subcortical,39,46,18886.0,20285.0,-0.03571519746751423,-0.07146078981753314
070,Amygdala,subcortical,38,45,18010.0,26255.0,-0.18626454309273693,-0.37692928790195784
070,Caudate,subcortical,34,41,184550.0,178009.0,0.018041201569951374,0.03608631866437426
070,Cerebellum-Cortex,cerebellum,32,78,195710.0,199367.0,-0.00925642343138173,-0.018513375625336646
070,Hippocampus,subcortical,37,44,89003.0,103872.0,-0.07709138042773818,-0.15448929486291493
070,Pallidum,subcortical,36,43,163931.0,167754.0,-0.011525996050469571,-0.02305301299049163
070,Putamen,subcortical,35,42,361109.0,400254.0,-0.05141437133141485,-0.10291949376416182
070,Thalamus-Proper,subcortical,33,40,357039.0,286044.0,0.11039788021141905,0.2216993743698671
070,caudalanteriorcingulate,cortex,1,47,88634.0,72668.0,0.09898203370076006,0.1986144086007495
070,caudalmiddlefrontal,cortex,2,48,331946.0,299354.0,0.05162680183747822,0.10334548551799788
070,cuneus,cortex,3,49,130713.0,143043.0,-0.04504010870994608,-0.09014120425337308
070,entorhinal,cortex,4,50,11755.0,10553.0,0.05388201542047696,0.10786850230307977
070,fusiform,cortex,5,51,140577.0,155280.0,-0.04969630598566199,-0.09947455750288524
070,inferiorparietal,cortex,6,52,284674.0,408870.0,-0.17907443507549628,-0.36205259119476146
070,inferiortemporal,cortex,7,53,220040.0,250113.0,-0.0639642839671341,-0.12810346773376047
070,insula,cortex,31,77,141673.0,139191.0,0.008837017204056056,0.01767449450171214
070,isthmuscingulate,cortex,8,54,105133.0,75881.0,0.1616007601621974,0.32605989159556625
070,lateraloccipital,cortex,9,55,315044.0,229531.0,0.15702703943442134,0.31667421497927045
070,lateralorbitofrontal,cortex,10,56,161321.0,179603.0,-0.0536248548063498,-0.1073526906694197
070,lingual,cortex,11,57,172617.0,154534.0,0.055274170031575635,0.11066113057400212
070,medialorbitofrontal,cortex,12,58,120956.0,83996.0,0.180334907685702,0.36465766443949804
070,middletemporal,cortex,13,59,216808.0,229842.0,-0.029181685883801635,-0.0583799470850158
070,paracentral,cortex,15,61,174248.0,157632.0,0.050066289020127754,0.10021636931485411
070,parahippocampal,cortex,14,60,48636.0,41375.0,0.0806679183655331,0.16168716373694478
070,parsopercularis,cortex,16,62,148772.0,231797.0,-0.21816017594706874,-0.4434470559809554
070,parsorbitalis,cortex,17,63,69074.0,80122.0,-0.07405024263385078,-0.14837207935527094
070,parstriangularis,cortex,18,64,157606.0,137717.0,0.06734660016321113,0.13489739286051367
070,pericalcarine,cortex,19,65,37992.0,50490.0,-0.1412490676069709,-0.28439968562400353
070,postcentral,cortex,20,66,293841.0,256433.0,0.06798067871642127,0.13617138280532975
070,posteriorcingulate,cortex,21,67,140770.0,147850.0,-0.0245305245651722,-0.049070893458612264
070,precentral,cortex,22,68,489215.0,402260.0,0.09754059283771278,0.19570341992366894
070,precuneus,cortex,23,69,259224.0,284707.0,-0.0468496923322995,-0.09376802848230813
070,rostralanteriorcingulate,cortex,24,70,69030.0,45532.0,0.20511164260400483,0.41612581725241404
070,rostralmiddlefrontal,cortex,25,71,225953.0,254743.0,-0.059892322798608684,-0.1199281807629007
070,superiorfrontal,cortex,26,72,812683.0,908053.0,-0.05542395812024622,-0.11096162732939993
070,superiorparietal,cortex,27,73,395230.0,411128.0,-0.019715808611063573,-0.039436727609575055
070,superiortemporal,cortex,28,74,290851.0,245125.0,0.08531352150096273,0.17104282403273363
070,supramarginal,cortex,29,75,261598.0,193260.0,0.15024029477331388,0.3027725417227172
070,transversetemporal,cortex,30,76,33403.0,12996.0,0.4398155132653721,0.9440040985014754
