index	label_id	name	hemisphere	region	fsname
88	88	lh.isthmuscingulate_1	left	cortical	isthmuscingulate_1
89	89	lh.postcentral_1	left	cortical	postcentral_1
90	90	lh.postcentral_2	left	cortical	postcentral_2
91	91	lh.postcentral_3	left	cortical	postcentral_3
92	92	lh.supramarginal_1	left	cortical	supramarginal_1
93	93	lh.supramarginal_2	left	cortical	supramarginal_2
94	94	lh.superiorparietal_1	left	cortical	superiorparietal_1
95	95	lh.superiorparietal_2	left	cortical	superiorparietal_2
96	96	lh.superiorparietal_3	left	cortical	superiorparietal_3
97	97	lh.inferiorparietal_1	left	cortical	inferiorparietal_1
98	98	lh.inferiorparietal_2	left	cortical	inferiorparietal_2
99	99	lh.precuneus_1	left	cortical	precuneus_1
100	100	lh.precuneus_2	left	cortical	precuneus_2
101	101	lh.cuneus_1	left	cortical	cuneus_1
102	102	lh.pericalcarine_1	left	cortical	pericalcarine_1
103	103	lh.lateraloccipital_1	left	cortical	lateraloccipital_1
104	104	lh.lateraloccipital_2	left	cortical	lateraloccipital_2
105	105	lh.lingual_1	left	cortical	lingual_1
106	106	lh.lingual_2	left	cortical	lingual_2
107	107	lh.fusiform_1	left	cortical	fusiform_1
108	108	lh.fusiform_2	left	cortical	fusiform_2
109	109	lh.parahippocampal_1	left	cortical	parahippocampal_1
110	110	lh.entorhinal_1	left	cortical	entorhinal_1
111	111	lh.temporalpole_1	left	cortical	temporalpole_1
112	112	lh.inferiortemporal_1	left	cortical	inferiortemporal_1
113	113	lh.inferiortemporal_2	left	cortical	inferiortemporal_2
114	114	lh.middletemporal_1	left	cortical	middletemporal_1
115	115	lh.middletemporal_2	left	cortical	middletemporal_2
116	116	lh.bankssts_1	left	cortical	bankssts_1
117	117	lh.superiortemporal_1	left	cortical	superiortemporal_1
118	118	lh.superiortemporal_2	left	cortical	superiortemporal_2
119	119	lh.transversetemporal_1	left	cortical	transversetemporal_1
120	120	lh.insula_1	left	cortical	insula_1
121	121	lh.insula_2	left	cortical	insula_2
122	122	Left-Thalamus-Proper	left	subcortical	Left-Thalamus-Proper
123	123	Left-Caudate	left	subcortical	Left-Caudate
124	124	Left-Putamen	left	subcortical	Left-Putamen
125	125	Left-Pallidum	left	subcortical	Left-Pallidum
126	126	Left-Accumbens-area	left	subcortical	Left-Accumbens-area
127	127	Left-Hippocampus	left	subcortical	Left-Hippocampus
128	128	Left-Amygdala	left	subcortical	Left-Amygdala
129	129	Brain-Stem	left	subcortical	Brain-Stem
