subject,fs_default_index,name,side,region_type,strength
075,1,L.caudalanteriorcingulate,L,cortex,77466.0
075,2,L.caudalmiddlefrontal,L,cortex,218301.0
075,3,L.cuneus,L,cortex,159814.0
075,4,L.entorhinal,L,cortex,13555.0
075,5,L.fusiform,L,cortex,131112.0
075,6,L.inferiorparietal,L,cortex,447110.0
075,7,L.inferiortemporal,L,cortex,200944.0
075,8,L.isthmuscingulate,L,cortex,114849.0
075,9,L.lateraloccipital,L,cortex,407924.0
075,10,L.lateralorbitofrontal,L,cortex,154313.0
075,11,L.lingual,L,cortex,184937.0
075,12,L.medialorbitofrontal,L,cortex,91008.0
075,13,L.middletemporal,L,cortex,300296.0
075,14,L.parahippocampal,L,cortex,33376.0
075,15,L.paracentral,L,cortex,130059.0
075,16,L.parsopercularis,L,cortex,176276.0
075,17,L.parsorbitalis,L,cortex,77939.0
075,18,L.parstriangularis,L,cortex,116413.0
075,19,L.pericalcarine,L,cortex,53334.0
075,20,L.postcentral,L,cortex,368517.0
075,21,L.posteriorcingulate,L,cortex,89929.0
075,22,L.precentral,L,cortex,520648.0
075,23,L.precuneus,L,cortex,274968.0
075,24,L.rostralanteriorcingulate,L,cortex,80746.0
075,25,L.rostralmiddlefrontal,L,cortex,313075.0
075,26,L.superiorfrontal,L,cortex,755642.0
075,27,L.superiorparietal,L,cortex,370838.0
075,28,L.superiortemporal,L,cortex,310889.0
075,29,L.supramarginal,L,cortex,276105.0
075,30,L.transversetemporal,L,cortex,20700.0
075,31,L.insula,L,cortex,138712.0
075,32,L.Cerebellum-Cortex,L,cerebellum,284199.0
075,33,L.Thalamus-Proper,L,subcortical,335227.0
075,34,L.Caudate,L,subcortical,137785.0
075,35,L.Putamen,L,subcortical,320609.0
075,36,L.Pallidum,L,subcortical,180360.0
075,37,L.Hippocampus,L,subcortical,59545.0
075,38,L.Amygdala,L,subcortical,24835.0
075,39,L.Accumbens-area,L,subcortical,15675.0
075,40,R.Thalamus-Proper,R,subcortical,350780.0
075,41,R.Caudate,R,subcortical,156706.0
075,42,R.Putamen,R,subcortical,344366.0
075,43,R.Pallidum,R,subcortical,190085.0
075,44,R.Hippocampus,R,subcortical,62439.0
075,45,R.Amygdala,R,subcortical,31936.0
075,46,R.Accumbens-area,R,subcortical,14716.0
075,47,R.caudalanteriorcingulate,R,cortex,60489.0
075,48,R.caudalmiddlefrontal,R,cortex,188156.0
075,49,R.cuneus,R,cortex,185144.0
075,50,R.entorhinal,R,cortex,8767.0
075,51,R.fusiform,R,cortex,173746.0
075,52,R.inferiorparietal,R,cortex,330124.0
075,53,R.inferiortemporal,R,cortex,181986.0
075,54,R.isthmuscingulate,R,cortex,79874.0
075,55,R.lateraloccipital,R,cortex,305566.0
075,56,R.lateralorbitofrontal,R,cortex,121650.0
075,57,R.lingual,R,cortex,206323.0
075,58,R.medialorbitofrontal,R,cortex,93481.0
075,59,R.middletemporal,R,cortex,296835.0
075,60,R.parahippocampal,R,cortex,31233.0
075,61,R.paracentral,R,cortex,156068.0
075,62,R.parsopercularis,R,cortex,171201.0
075,63,R.parsorbitalis,R,cortex,72132.0
075,64,R.parstriangularis,R,cortex,105564.0
075,65,R.pericalcarine,R,cortex,73169.0
075,66,R.postcentral,R,cortex,318564.0
075,67,R.posteriorcingulate,R,cortex,100787.0
075,68,R.precentral,R,cortex,457192.0
075,69,R.precuneus,R,cortex,274835.0
075,70,R.rostralanteriorcingulate,R,cortex,71358.0
075,71,R.rostralmiddlefrontal,R,cortex,324425.0
075,72,R.superiorfrontal,R,cortex,823480.0
075,73,R.superiorparietal,R,cortex,434668.0
075,74,R.superiortemporal,R,cortex,250919.0
075,75,R.supramarginal,R,cortex,236658.0
075,76,R.transversetemporal,R,cortex,14668.0
075,77,R.insula,R,cortex,130669.0
075,78,R.Cerebellum-Cortex,R,cerebellum,283081.0
