subject,fs_default_index,name,side,region_type,strength
013,1,L.caudalanteriorcingulate,L,cortex,116106.0
013,2,L.caudalmiddlefrontal,L,cortex,261045.0
013,3,L.cuneus,L,cortex,165660.0
013,4,L.entorhinal,L,cortex,12778.0
013,5,L.fusiform,L,cortex,138318.0
013,6,L.inferiorparietal,L,cortex,380982.0
013,7,L.inferiortemporal,L,cortex,162325.0
013,8,L.isthmuscingulate,L,cortex,135827.0
013,9,L.lateraloccipital,L,cortex,304759.0
013,10,L.lateralorbitofrontal,L,cortex,139543.0
013,11,L.lingual,L,cortex,200395.0
013,12,L.medialorbitofrontal,L,cortex,103816.0
013,13,L.middletemporal,L,cortex,222316.0
013,14,L.parahippocampal,L,cortex,35704.0
013,15,L.paracentral,L,cortex,197785.0
013,16,L.parsopercularis,L,cortex,130464.0
013,17,L.parsorbitalis,L,cortex,66899.0
013,18,L.parstriangularis,L,cortex,106815.0
013,19,L.pericalcarine,L,cortex,55403.0
013,20,L.postcentral,L,cortex,320300.0
013,21,L.posteriorcingulate,L,cortex,140317.0
013,22,L.precentral,L,cortex,514706.0
013,23,L.precuneus,L,cortex,317071.0
013,24,L.rostralanteriorcingulate,L,cortex,94428.0
013,25,L.rostralmiddlefrontal,L,cortex,368929.0
013,26,L.superiorfrontal,L,cortex,755122.0
013,27,L.superiorparietal,L,cortex,340525.0
013,28,L.superiortemporal,L,cortex,267022.0
013,29,L.supramarginal,L,cortex,246783.0
013,30,L.transversetemporal,L,cortex,25138.0
013,31,L.insula,L,cortex,140590.0
013,32,L.Cerebellum-Cortex,L,cerebellum,162299.0
013,33,L.Thalamus-Proper,L,subcortical,373682.0
013,34,L.Caudate,L,subcortical,168466.0
013,35,L.Putamen,L,subcortical,307669.0
013,36,L.Pallidum,L,subcortical,159965.0
013,37,L.Hippocampus,L,subcortical,80471.0
013,38,L.Amygdala,L,subcortical,25710.0
013,39,L.Accumbens-area,L,subcortical,25814.0
013,40,R.Thalamus-Proper,R,subcortical,361785.0
013,41,R.Caudate,R,subcortical,155742.0
013,42,R.Putamen,R,subcortical,314410.0
013,43,R.Pallidum,R,subcortical,159485.0
013,44,R.Hippocampus,R,subcortical,74614.0
013,45,R.Amygdala,R,subcortical,30634.0
013,46,R.Accumbens-area,R,subcortical,23755.0
013,47,R.caudalanteriorcingulate,R,cortex,105783.0
013,48,R.caudalmiddlefrontal,R,cortex,201755.0
013,49,R.cuneus,R,cortex,170038.0
013,50,R.entorhinal,R,cortex,10079.0
013,51,R.fusiform,R,cortex,167960.0
013,52,R.inferiorparietal,R,cortex,390308.0
013,53,R.inferiortemporal,R,cortex,153703.0
013,54,R.isthmuscingulate,R,cortex,125767.0
013,55,R.lateraloccipital,R,cortex,283497.0
013,56,R.lateralorbitofrontal,R,cortex,156375.0
013,57,R.lingual,R,cortex,165260.0
013,58,R.medialorbitofrontal,R,cortex,65376.0
013,59,R.middletemporal,R,cortex,258394.0
013,60,R.parahippocampal,R,cortex,36932.0
013,61,R.paracentral,R,cortex,186092.0
013,62,R.parsopercularis,R,cortex,196127.0
013,63,R.parsorbitalis,R,cortex,82928.0
013,64,R.parstriangularis,R,cortex,120629.0
013,65,R.pericalcarine,R,cortex,67294.0
013,66,R.postcentral,R,cortex,292607.0
013,67,R.posteriorcingulate,R,cortex,118733.0
013,68,R.precentral,R,cortex,477878.0
013,69,R.precuneus,R,cortex,313218.0
013,70,R.rostralanteriorcingulate,R,cortex,43069.0
013,71,R.rostralmiddlefrontal,R,cortex,333426.0
013,72,R.superiorfrontal,R,cortex,919853.0
013,73,R.superiorparietal,R,cortex,360217.0
013,74,R.superiortemporal,R,cortex,297632.0
013,75,R.supramarginal,R,cortex,238127.0
013,76,R.transversetemporal,R,cortex,18447.0
013,77,R.insula,R,cortex,149616.0
013,78,R.Cerebellum-Cortex,R,cerebellum,166054.0
