subject,roi_name,region_type,L_index,R_index,L_strength,R_strength,side_ai,log_ai
029,Accumbens-area,subcortical,39,46,10254.0,23334.0,-0.3894247945694891,-0.8222436510401564
029,Amygdala,subcortical,38,45,23331.0,28644.0,-0.10222222222222223,-0.20516104876377736
029,Caudate,subcortical,34,41,144281.0,137914.0,0.022562412516167897,0.04513248449008155
029,Cerebellum-Cortex,cerebellum,32,78,200286.0,190639.0,0.024677367781543773,0.04936475778387859
029,Hippocampus,subcortical,37,44,76323.0,77534.0,-0.007870945098370564,-0.01574221528818081
029,Pallidum,subcortical,36,43,188121.0,198665.0,-0.027260552346775737,-0.05453461628168587
029,Putamen,subcortical,35,42,340055.0,332669.0,0.010979242601720765,0.02195936758677794
029,Thalamus-Proper,subcortical,33,40,356307.0,313372.0,0.06411280628480212,0.12840173554664508
029,caudalanteriorcingulate,cortex,1,47,101310.0,90296.0,0.0574825423003455,0.11509196041226087
029,caudalmiddlefrontal,cortex,2,48,282256.0,277679.0,0.008174163072499487,0.016348690274650083
029,cuneus,cortex,3,49,74561.0,89941.0,-0.09349430402061981,-0.18753631749964833
029,entorhinal,cortex,4,50,12648.0,17348.0,-0.15668755834111214,-0.3159781260659489
029,fusiform,cortex,5,51,158325.0,151109.0,0.023319997156097907,0.04664845169444057
029,inferiorparietal,cortex,6,52,345025.0,412241.0,-0.08876141276645194,-0.1779912516143183
029,inferiortemporal,cortex,7,53,242652.0,179616.0,0.14927960442183638,0.30080707938180407
029,insula,cortex,31,77,155766.0,159406.0,-0.011549249298795578,-0.02309952567876301
029,isthmuscingulate,cortex,8,54,139351.0,122998.0,0.06233299917285753,0.12482783499968925
029,lateraloccipital,cortex,9,55,249845.0,268492.0,-0.03597466513098621,-0.0719803927639813
029,lateralorbitofrontal,cortex,10,56,179234.0,192119.0,-0.03469744421076442,-0.06942275701609836
029,lingual,cortex,11,57,113329.0,147137.0,-0.1297981310420554,-0.2610690326338603
029,medialorbitofrontal,cortex,12,58,102683.0,95315.0,0.03721249709593026,0.07445937659499918
029,middletemporal,cortex,13,59,292455.0,330311.0,-0.060786876611761076,-0.1217238262175041
029,paracentral,cortex,15,61,118603.0,180920.0,-0.2080541394150032,-0.422273163256321
029,parahippocampal,cortex,14,60,32019.0,39203.0,-0.10086770941563,-0.2024237978804063
029,parsopercularis,cortex,16,62,162133.0,158874.0,0.010152426582597887,0.020305550827363322
029,parsorbitalis,cortex,17,63,81447.0,59417.0,0.15639198091776466,0.31537212124846525
029,parstriangularis,cortex,18,64,114659.0,99121.0,0.07268219665076246,0.14562117995364096
029,pericalcarine,cortex,19,65,54097.0,65704.0,-0.09688566873398385,-0.19438107498808704
029,postcentral,cortex,20,66,297165.0,273971.0,0.040610292469744506,0.0812652787237741
029,posteriorcingulate,cortex,21,67,141981.0,122074.0,0.07538959686428964,0.15106582760323126
029,precentral,cortex,22,68,505550.0,394526.0,0.12334958381292246,0.24796190121280515
029,precuneus,cortex,23,69,258776.0,288782.0,-0.054799674189766195,-0.10970925558318649
029,rostralanteriorcingulate,cortex,24,70,84477.0,97631.0,-0.07223186241131636,-0.144715757974604
029,rostralmiddlefrontal,cortex,25,71,268080.0,303437.0,-0.06186517636395768,-0.1238885672694436
029,superiorfrontal,cortex,26,72,824104.0,792440.0,0.019587465605637705,0.03917994243131345
029,superiorparietal,cortex,27,73,376976.0,387157.0,-0.013323596808409008,-0.026648770572349816
029,superiortemporal,cortex,28,74,340279.0,327467.0,0.01918693635004927,0.03837858270748746
029,supramarginal,cortex,29,75,329222.0,313263.0,0.024839490416118663,0.049689201931453174
029,transversetemporal,cortex,30,76,40336.0,23146.0,0.270785419488989,0.555422391019678
