subject,fs_default_index,name,side,region_type,strength
053,1,L.caudalanteriorcingulate,L,cortex,77496.0
053,2,L.caudalmiddlefrontal,L,cortex,249585.0
053,3,L.cuneus,L,cortex,106815.0
053,4,L.entorhinal,L,cortex,14776.0
053,5,L.fusiform,L,cortex,237079.0
053,6,L.inferiorparietal,L,cortex,414540.0
053,7,L.inferiortemporal,L,cortex,230571.0
053,8,L.isthmuscingulate,L,cortex,101660.0
053,9,L.lateraloccipital,L,cortex,354870.0
053,10,L.lateralorbitofrontal,L,cortex,174554.0
053,11,L.lingual,L,cortex,176388.0
053,12,L.medialorbitofrontal,L,cortex,86879.0
053,13,L.middletemporal,L,cortex,375037.0
053,14,L.parahippocampal,L,cortex,33295.0
053,15,L.paracentral,L,cortex,144869.0
053,16,L.parsopercularis,L,cortex,135184.0
053,17,L.parsorbitalis,L,cortex,73041.0
053,18,L.parstriangularis,L,cortex,119323.0
053,19,L.pericalcarine,L,cortex,64950.0
053,20,L.postcentral,L,cortex,249506.0
053,21,L.posteriorcingulate,L,cortex,68897.0
053,22,L.precentral,L,cortex,439156.0
053,23,L.precuneus,L,cortex,335059.0
053,24,L.rostralanteriorcingulate,L,cortex,79783.0
053,25,L.rostralmiddlefrontal,L,cortex,247753.0
053,26,L.superiorfrontal,L,cortex,700123.0
053,27,L.superiorparietal,L,cortex,453066.0
053,28,L.superiortemporal,L,cortex,285691.0
053,29,L.supramarginal,L,cortex,264815.0
053,30,L.transversetemporal,L,cortex,29428.0
053,31,L.insula,L,cortex,136004.0
053,32,L.Cerebellum-Cortex,L,cerebellum,268408.0
053,33,L.Thalamus-Proper,L,subcortical,332064.0
053,34,L.Caudate,L,subcortical,137337.0
053,35,L.Putamen,L,subcortical,342332.0
053,36,L.Pallidum,L,subcortical,160048.0
053,37,L.Hippocampus,L,subcortical,84374.0
053,38,L.Amygdala,L,subcortical,34783.0
053,39,L.Accumbens-area,L,subcortical,30123.0
053,40,R.Thalamus-Proper,R,subcortical,375220.0
053,41,R.Caudate,R,subcortical,210505.0
053,42,R.Putamen,R,subcortical,412899.0
053,43,R.Pallidum,R,subcortical,141729.0
053,44,R.Hippocampus,R,subcortical,130209.0
053,45,R.Amygdala,R,subcortical,43978.0
053,46,R.Accumbens-area,R,subcortical,28887.0
053,47,R.caudalanteriorcingulate,R,cortex,69309.0
053,48,R.caudalmiddlefrontal,R,cortex,249056.0
053,49,R.cuneus,R,cortex,145942.0
053,50,R.entorhinal,R,cortex,6887.0
053,51,R.fusiform,R,cortex,215544.0
053,52,R.inferiorparietal,R,cortex,478592.0
053,53,R.inferiortemporal,R,cortex,157219.0
053,54,R.isthmuscingulate,R,cortex,114379.0
053,55,R.lateraloccipital,R,cortex,289930.0
053,56,R.lateralorbitofrontal,R,cortex,145856.0
053,57,R.lingual,R,cortex,157813.0
053,58,R.medialorbitofrontal,R,cortex,82990.0
053,59,R.middletemporal,R,cortex,270473.0
053,60,R.parahippocampal,R,cortex,24867.0
053,61,R.paracentral,R,cortex,138562.0
053,62,R.parsopercularis,R,cortex,157476.0
053,63,R.parsorbitalis,R,cortex,81713.0
053,64,R.parstriangularis,R,cortex,126539.0
053,65,R.pericalcarine,R,cortex,65190.0
053,66,R.postcentral,R,cortex,243517.0
053,67,R.posteriorcingulate,R,cortex,100173.0
053,68,R.precentral,R,cortex,419292.0
053,69,R.precuneus,R,cortex,297004.0
053,70,R.rostralanteriorcingulate,R,cortex,67194.0
053,71,R.rostralmiddlefrontal,R,cortex,214951.0
053,72,R.superiorfrontal,R,cortex,694358.0
053,73,R.superiorparietal,R,cortex,411009.0
053,74,R.superiortemporal,R,cortex,274313.0
053,75,R.supramarginal,R,cortex,277755.0
053,76,R.transversetemporal,R,cortex,16237.0
053,77,R.insula,R,cortex,110762.0
053,78,R.Cerebellum-Cortex,R,cerebellum,254685.0
